NamaMenteri,NamaPresiden,Asal
A._M._Hendropriyono,Abdurrahman_Wahid,Yogyakarta
Agum_Gumelar,Abdurrahman_Wahid,"Tasikmalaya, Jawa Barat"
Freddy_Numberi,Abdurrahman_Wahid,"Yapen Waropen, Papua"
Hasballah_M._Saad,Abdurrahman_Wahid,"Pidie, Aceh"
Susilo_Bambang_Yudhoyono,Abdurrahman_Wahid,"Pacitan, Jawa Timur"
Yusril_Ihza_Mahendra,Abdurrahman_Wahid,"Belitung Timur, Kepulauan Bangka Belitung"
Nur_Mahmudi_Ismail,Abdurrahman_Wahid,"Kediri, Jawa Timur"
Achmad_Sujudi,Abdurrahman_Wahid,"Bondowoso, Jawa Timur"
Mohamad_Prakosa,Abdurrahman_Wahid,Yogyakarta
Bomer_Pasaribu,Abdurrahman_Wahid,"Padang Sidempuan, Sumatera Utara"
Ryaas_Rasyid,Abdurrahman_Wahid,"Gowa, Sulawesi Selatan"
Luhut_Binsar_Panjaitan,Abdurrahman_Wahid,"Toba Samosir, Sumatera Utara"
Yahya_Muhaimin,Abdurrahman_Wahid,"Brebes, Jawa Tengah"
Zarkasih_Nur,Abdurrahman_Wahid,"Tangerang, Jawa Barat"
Mahadi_Sinambela,Abdurrahman_Wahid,"Tanjung Balai, Sumatera Utara"
Alirahman,Abdurrahman_Wahid,Lampung
Djohan_Effendi,Abdurrahman_Wahid,"Kandangan, Kalimantan Selatan"
Muhammad_Yunus_Yosfiah,Bacharuddin_Jusuf_Habibie,"Rappang, Sulawesi Selatan"
A._M._Hendropriyono,Megawati_Soekarnoputri,Yogyakarta
Agum_Gumelar,Megawati_Soekarnoputri,"Tasikmalaya, Jawa Barat"
Akbar_Tanjung,Megawati_Soekarnoputri,"Sibolga, Sumatera Utara"
Bachtiar_Chamsyah,Megawati_Soekarnoputri,"Pidie, Aceh"
Dorodjatun_Kuntjoro-Jakti,Megawati_Soekarnoputri,"Rangkasbitung, Banten"
Hamzah_Haz,Megawati_Soekarnoputri,"Ketapang, Kalimantan Barat"
Hatta_Rajasa,Megawati_Soekarnoputri,"Palembang, Sumatera Selatan"
I_Gede_Ardhika,Megawati_Soekarnoputri,"Singaraja, Bali"
Muhammad_Jusuf_Kalla,Megawati_Soekarnoputri,"Makassar, Sulawesi Selatan"
Kwik_Kian_Gie,Megawati_Soekarnoputri,"Pati, Jawa Tengah"
Nabiel_Makarim,Megawati_Soekarnoputri,"Solo, Jawa Tengah"
Susilo_Bambang_Yudhoyono,Megawati_Soekarnoputri,"Pacitan, Jawa Timur"
Yusril_Ihza_Mahendra,Megawati_Soekarnoputri,"Belitung Timur, Kepulauan Bangka Belitung"
Burhanuddin_Abdullah,Megawati_Soekarnoputri,"Garut, Jawa Barat"
Achmad_Sujudi,Megawati_Soekarnoputri,"Bondowoso, Jawa Timur"
Abdul_Malik_Fadjar,Megawati_Soekarnoputri,Yogyakarta
Jacob_Nuwa_Wea,Megawati_Soekarnoputri,"Flores, Nusa Tenggara Timur"
Rini_Mariani_Soemarno_Soewandi,Megawati_Soekarnoputri,"Maryland, AS"
Bungaran_Saragih,Megawati_Soekarnoputri,"Pemantangsiantar, Sumatera Utara"
Mohamad_Prakosa,Megawati_Soekarnoputri,Yogyakarta
Soenarno,Megawati_Soekarnoputri,"Purwodadi, Jawa Tengah"
Rokhmin_Dahuri,Megawati_Soekarnoputri,"Bogor, Jawa Barat"
Muhammad_Feisal_Tamin,Megawati_Soekarnoputri,"Sumbawa, Nusa Tenggara Barat"
Manuel_Kaisiepo,Megawati_Soekarnoputri,"Biak, Papua"
Syamsul_Mu'arif,Megawati_Soekarnoputri,"Kandangan, Kalimantan Selatan"
Laksamana_Sukardi,Megawati_Soekarnoputri,Jakarta
Alimarwan_Hanan,Megawati_Soekarnoputri,"Uludanau, Sumatera Selatan"
Sri_Redjeki_Sumarjoto,Megawati_Soekarnoputri,"Surakarta, Jawa Tengah"
Bambang_Kesowo,Megawati_Soekarnoputri,"Sragen, Jawa Tengah"
Abdul_Latief_(pengusaha),Soeharto,Banda Aceh
Akbar_Tanjung,Soeharto,"Sibolga, Sumatera Utara"
Ali_Moertopo,Soeharto,"Blora, Jawa Tengah"
Ali_Sadikin,Soeharto,"Sumedang, Jawa Barat"
Azwar_Anas,Soeharto,"Padang, Sumatera Barat"
Bacharuddin_Jusuf_Habibie,Soeharto,"Parepare, Sulawesi Selatan"
Bob_Hasan,Soeharto,"Semarang, Jawa Tengah"
Boediardjo,Soeharto,"Magelang, Jawa Tengah"
